depth_m,qc_MPa,fs_kPa,u2_kPa,u_kPa
2.745,9.9487,55.2347,-15.1685,-15.1685
2.74,9.8811,54.5912,-15.1685,-15.1685
2.755,9.8414,54.0549,-15.1685,-15.1685
2.75,9.7771,53.7331,-15.1685,-15.1685
2.765,9.717,53.0896,-15.1685,-15.1685
2.76,9.6645,52.5534,-15.1685,-15.1685
2.775,9.6409,51.6954,-15.1685,-15.1685
2.77,9.613,51.2664,-15.1685,-15.1685
2.785,9.5915,50.3011,-15.1685,-15.1685
2.78,9.5883,49.9793,-15.1685,-15.1685
2.795,9.6108,49.4431,-15.1685,-15.1685
2.79,9.6248,49.2286,-15.1685,-15.1685
2.805,9.6655,48.9068,-15.1685,-15.1685
2.8,9.7224,48.6923,-15.1685,-15.1685
2.815,9.7899,48.5851,-15.1685,-15.1685
2.81,9.8253,48.4778,-15.1685,-15.1685
2.825,9.9015,48.0488,-15.1685,-15.1685
2.82,9.9809,47.8343,-15.1685,-15.1685
2.835,10.0398,47.727,-15.1685,-15.1685
2.83,10.0516,47.5125,-15.1685,-15.1685
2.845,10.0559,47.298,-15.1685,-15.1685
2.84,10.0388,46.869,-15.1685,-15.1685
2.855,10.0034,46.2255,-15.1685,-15.1685
2.85,9.9755,45.7965,-15.1685,-15.1685
2.865,9.9229,45.153,-15.1685,-15.1685
2.86,9.8715,44.9385,-15.1685,-15.1685
2.875,9.8232,44.8312,-15.1685,-15.1685
2.87,9.7985,44.6167,-15.1685,-15.1685
2.885,9.732,44.5095,-15.1685,-15.1685
2.88,9.6923,44.724,-15.8579,-15.8579
2.895,9.6269,45.0457,-15.8579,-15.8579
2.89,9.5658,44.8312,-15.8579,-15.8579
2.905,9.5229,44.4022,-15.8579,-15.8579
2.9,9.4982,43.9732,-15.8579,-15.8579
2.915,9.4853,43.7587,-15.8579,-15.8579
2.91,9.4875,44.4022,-15.8579,-15.8579
2.925,9.4982,44.724,-15.8579,-15.8579
2.92,9.5143,45.0457,-15.8579,-15.8579
2.935,9.5551,44.6167,-15.8579,-15.8579
2.93,9.5883,44.6167,-15.8579,-15.8579
2.945,9.6698,44.9385,-15.8579,-15.8579
2.94,9.7535,45.0457,-15.8579,-15.8579
2.955,9.8382,51.9099,-16.5474,-16.5474
2.95,9.8768,46.9763,-16.5474,-16.5474
2.965,9.9401,44.4022,-16.5474,-16.5474
2.96,9.9648,43.1152,-16.5474,-16.5474
